ImageId,ClassName,ImagePath
f27632d7e5.jpg,water,/content/train_images/train_images/f27632d7e5.jpg
efa87919ed.jpg,pizza-margherita-baked,/content/train_images/train_images/efa87919ed.jpg
4f169e8c8d.jpg,broccoli,/content/train_images/train_images/4f169e8c8d.jpg
a6956654bf.jpg,salad-leaf-salad-green,/content/train_images/train_images/a6956654bf.jpg
d99ce8c3bf.jpg,egg,/content/train_images/train_images/d99ce8c3bf.jpg
0c2b1641a8.jpg,butter,/content/train_images/train_images/0c2b1641a8.jpg
3f7e5ed3a9.jpg,bread-white,/content/train_images/train_images/3f7e5ed3a9.jpg
ffcfba255c.jpg,butter,/content/train_images/train_images/ffcfba255c.jpg
b0687e0bfc.jpg,bread-white,/content/train_images/train_images/b0687e0bfc.jpg
d6dc2e4278.jpg,bread-white,/content/train_images/train_images/d6dc2e4278.jpg
236b534c7c.jpg,apple,/content/train_images/train_images/236b534c7c.jpg
5fbcb6b69d.jpg,dark-chocolate,/content/train_images/train_images/5fbcb6b69d.jpg
495410143a.jpg,bread-white,/content/train_images/train_images/495410143a.jpg
577a2f73c3.jpg,white-coffee-with-caffeine,/content/train_images/train_images/577a2f73c3.jpg
16d301e694.jpg,sweet-pepper,/content/train_images/train_images/16d301e694.jpg
d9579ddc0b.jpg,mixed-salad-chopped-without-sauce,/content/train_images/train_images/d9579ddc0b.jpg
463cd98cc7.jpg,tomato-sauce,/content/train_images/train_images/463cd98cc7.jpg
6949a84f6d.jpg,cucumber,/content/train_images/train_images/6949a84f6d.jpg
d67f1fd1ef.jpg,mixed-salad-chopped-without-sauce,/content/train_images/train_images/d67f1fd1ef.jpg
27290ecf9c.jpg,cheese,/content/train_images/train_images/27290ecf9c.jpg
f291c3f914.jpg,tomato-sauce,/content/train_images/train_images/f291c3f914.jpg
c09bdc598c.jpg,pasta-spaghetti,/content/train_images/train_images/c09bdc598c.jpg
a648fb5a9d.jpg,rice,/content/train_images/train_images/a648fb5a9d.jpg
724ee81cc5.jpg,zucchini,/content/train_images/train_images/724ee81cc5.jpg
6d7ed2b76f.jpg,salmon,/content/train_images/train_images/6d7ed2b76f.jpg
7f82ff4c10.jpg,salad-leaf-salad-green,/content/train_images/train_images/7f82ff4c10.jpg
325530d767.jpg,mixed-vegetables,/content/train_images/train_images/325530d767.jpg
8c707edd77.jpg,salad-leaf-salad-green,/content/train_images/train_images/8c707edd77.jpg
4c2973d5f5.jpg,espresso-with-caffeine,/content/train_images/train_images/4c2973d5f5.jpg
ca254e6baa.jpg,banana,/content/train_images/train_images/ca254e6baa.jpg
624bf4e243.jpg,strawberries,/content/train_images/train_images/624bf4e243.jpg
8692f9f346.jpg,mayonnaise,/content/train_images/train_images/8692f9f346.jpg
5b73040e90.jpg,bread-white,/content/train_images/train_images/5b73040e90.jpg
fb8f2c0d90.jpg,almonds,/content/train_images/train_images/fb8f2c0d90.jpg
609741b4db.jpg,mixed-vegetables,/content/train_images/train_images/609741b4db.jpg
472255cd62.jpg,bread-wholemeal,/content/train_images/train_images/472255cd62.jpg
52060ef19b.jpg,wine-white,/content/train_images/train_images/52060ef19b.jpg
9dd16a0b02.jpg,wine-white,/content/train_images/train_images/9dd16a0b02.jpg
28000d9886.jpg,hard-cheese,/content/train_images/train_images/28000d9886.jpg
50ab7c5f0c.jpg,wine-white,/content/train_images/train_images/50ab7c5f0c.jpg
01a8d12fe9.jpg,ham-raw,/content/train_images/train_images/01a8d12fe9.jpg
bf69eed43a.jpg,bread-white,/content/train_images/train_images/bf69eed43a.jpg
5bfff6ba36.jpg,ham-raw,/content/train_images/train_images/5bfff6ba36.jpg
f2841f29b3.jpg,tomato,/content/train_images/train_images/f2841f29b3.jpg
9896fe9187.jpg,salad-leaf-salad-green,/content/train_images/train_images/9896fe9187.jpg
3985dc15aa.jpg,french-beans,/content/train_images/train_images/3985dc15aa.jpg
a5d475f5c6.jpg,water,/content/train_images/train_images/a5d475f5c6.jpg
4a751dbc97.jpg,tomato,/content/train_images/train_images/4a751dbc97.jpg
9ad46cfe27.jpg,sweet-pepper,/content/train_images/train_images/9ad46cfe27.jpg
fff8a2dc27.jpg,dark-chocolate,/content/train_images/train_images/fff8a2dc27.jpg
35e7efdd33.jpg,mandarine,/content/train_images/train_images/35e7efdd33.jpg
ba3457d876.jpg,tomato,/content/train_images/train_images/ba3457d876.jpg
24d6e24f75.jpg,cheese,/content/train_images/train_images/24d6e24f75.jpg
e58261b43c.jpg,cheese,/content/train_images/train_images/e58261b43c.jpg
54743d66c7.jpg,tomato,/content/train_images/train_images/54743d66c7.jpg
99d1df4cf7.jpg,bread-white,/content/train_images/train_images/99d1df4cf7.jpg
568d700401.jpg,wine-white,/content/train_images/train_images/568d700401.jpg
4b0f2ed984.jpg,apple,/content/train_images/train_images/4b0f2ed984.jpg
cdb2c24f7d.jpg,banana,/content/train_images/train_images/cdb2c24f7d.jpg
26dad762ce.jpg,strawberries,/content/train_images/train_images/26dad762ce.jpg
77f76a9cab.jpg,water,/content/train_images/train_images/77f76a9cab.jpg
14fca06ca3.jpg,wine-red,/content/train_images/train_images/14fca06ca3.jpg
